index,name,row,col,x,y,w,h
0,icon-about-page-16,0,0,2,2,16,16
1,icon-accept-offer-16,0,1,20,2,16,16
2,icon-artist-16,0,2,38,2,16,16
3,icon-city-location-16,0,3,56,2,16,16
4,icon-edit-16,1,0,2,20,16,16
5,icon-explore-page-16,1,1,20,20,16,16
6,icon-favorite-like-16,1,2,38,20,16,16
7,icon-follow-16,1,3,56,20,16,16
8,icon-guestbook-16,2,0,2,38,16,16
9,icon-inbox-16,2,1,20,38,16,16
10,icon-message-16,2,2,38,38,16,16
11,icon-pin-16,2,3,56,38,16,16
12,icon-pinned-post-16,3,0,2,56,16,16
13,icon-reject-offer-16,3,1,20,56,16,16
14,icon-shipping-16,3,2,38,56,16,16
