index,name,row,col,x,y,w,h
0,icon-painting-16,0,0,2,2,16,16
1,icon-sculpture-16,0,1,20,2,16,16
2,icon-drawing-16,0,2,38,2,16,16
3,icon-photography-16,0,3,56,2,16,16
4,icon-misc-art-16,0,4,74,2,16,16
5,icon-new-works-16,1,0,2,20,16,16
6,icon-my-profile-16,1,1,20,20,16,16
7,icon-sign-up-16,1,2,38,20,16,16
8,icon-explore-page-16,1,3,56,20,16,16
9,icon-search-bar-16,1,4,74,20,16,16
10,icon-about-page-16,2,0,2,38,16,16
11,icon-follow-16,2,1,20,38,16,16
12,icon-purchase-artwork-16,2,2,38,38,16,16
13,icon-message-16,2,3,56,38,16,16
14,icon-artist-16,2,4,74,38,16,16
15,icon-edit-16,3,0,2,56,16,16
16,icon-upload-16,3,1,20,56,16,16
17,icon-favorite-like-16,3,2,38,56,16,16
18,icon-inbox-16,3,3,56,56,16,16
19,icon-purchase-made-16,3,4,74,56,16,16
20,icon-pinned-post-16,4,0,2,74,16,16
21,icon-guestbook-16,4,1,20,74,16,16
22,icon-accept-offer-16,4,2,38,74,16,16
23,icon-reject-offer-16,4,3,56,74,16,16
24,icon-city-location-16,4,4,74,74,16,16
25,icon-pin-16,5,0,2,92,16,16
26,icon-shipping-16,5,1,20,92,16,16
