index,name,row,col,x,y,w,h
0,icon-painting-64,0,0,2,2,64,64
1,icon-sculpture-64,0,1,68,2,64,64
2,icon-drawing-64,0,2,134,2,64,64
3,icon-photography-64,0,3,200,2,64,64
4,icon-misc-art-64,0,4,266,2,64,64
5,icon-new-works-64,1,0,2,68,64,64
6,icon-my-profile-64,1,1,68,68,64,64
7,icon-sign-up-64,1,2,134,68,64,64
8,icon-explore-page-64,1,3,200,68,64,64
9,icon-search-bar-64,1,4,266,68,64,64
10,icon-about-page-64,2,0,2,134,64,64
11,icon-follow-64,2,1,68,134,64,64
12,icon-purchase-artwork-64,2,2,134,134,64,64
13,icon-message-64,2,3,200,134,64,64
14,icon-artist-64,2,4,266,134,64,64
15,icon-edit-64,3,0,2,200,64,64
16,icon-upload-64,3,1,68,200,64,64
17,icon-favorite-like-64,3,2,134,200,64,64
18,icon-inbox-64,3,3,200,200,64,64
19,icon-purchase-made-64,3,4,266,200,64,64
20,icon-pinned-post-64,4,0,2,266,64,64
21,icon-guestbook-64,4,1,68,266,64,64
22,icon-accept-offer-64,4,2,134,266,64,64
23,icon-reject-offer-64,4,3,200,266,64,64
24,icon-city-location-64,4,4,266,266,64,64
25,icon-pin-64,5,0,2,332,64,64
26,icon-shipping-64,5,1,68,332,64,64
